reference_path,search_image_path,GTX,GTY,output_X,output_Y,style,hard_case,heavier_noise,confidence,ambiguous_flag,error_px,runtime_sec
../outputs/reference/dram_000_ref.png,../outputs/search/dram_000_search.png,146.0,735.0,892.0,796.0,dram,False,True,0.7381,False,748.49,5.8187
../outputs/reference/dram_002_ref.png,../outputs/search/dram_002_search.png,643.0,175.0,643.0,175.0,dram,False,False,0.8454,True,0.0,5.0721
../outputs/reference/dram_004_ref.png,../outputs/search/dram_004_search.png,502.0,848.0,258.0,560.0,dram,False,False,0.6765,False,377.47,5.1225
../outputs/reference/dram_006_ref.png,../outputs/search/dram_006_search.png,181.0,403.0,573.0,443.0,dram,False,True,0.3452,True,394.04,5.2699
../outputs/reference/dram_008_ref.png,../outputs/search/dram_008_search.png,741.0,747.0,741.0,747.0,dram,False,False,0.4321,True,0.0,5.0368
../outputs/reference/dram_010_ref.png,../outputs/search/dram_010_search.png,899.0,599.0,257.0,776.0,dram,False,True,0.4803,True,665.95,5.3639
../outputs/reference/dram_012_ref.png,../outputs/search/dram_012_search.png,337.0,261.0,651.0,805.0,dram,False,False,0.8066,True,628.12,5.2725
../outputs/reference/dram_014_ref.png,../outputs/search/dram_014_search.png,385.0,694.0,682.0,248.0,dram,False,False,0.4436,True,535.84,5.6099
../outputs/reference/dram_016_ref.png,../outputs/search/dram_016_search.png,508.0,335.0,318.0,796.0,dram,False,True,0.772,False,498.62,5.4456
../outputs/reference/dram_018_ref.png,../outputs/search/dram_018_search.png,219.0,348.0,455.0,671.0,dram,False,False,0.7867,False,400.03,5.3424
../outputs/reference/dram_020_ref.png,../outputs/search/dram_020_search.png,454.0,594.0,832.0,570.0,dram,False,True,0.5414,True,378.76,5.4739
../outputs/reference/dram_022_ref.png,../outputs/search/dram_022_search.png,508.0,881.0,600.0,474.0,dram,False,False,0.8206,False,417.27,5.5293
../outputs/reference/dram_024_ref.png,../outputs/search/dram_024_search.png,880.0,864.0,549.0,664.0,dram,False,False,0.7817,False,386.73,5.2612
../outputs/reference/dram_026_ref.png,../outputs/search/dram_026_search.png,488.0,486.0,488.0,486.0,dram,True,True,0.7968,True,0.0,5.6031
../outputs/reference/dram_028_ref.png,../outputs/search/dram_028_search.png,626.0,397.0,918.0,833.0,dram,True,False,0.642,True,524.75,5.4367
../outputs/reference/finfet_001_ref.png,../outputs/search/finfet_001_search.png,504.0,630.0,504.0,630.0,finfet,False,False,0.244,True,0.0,5.2722
../outputs/reference/finfet_003_ref.png,../outputs/search/finfet_003_search.png,865.0,562.0,865.0,562.0,finfet,False,True,0.2138,True,0.0,5.6004
../outputs/reference/finfet_005_ref.png,../outputs/search/finfet_005_search.png,153.0,707.0,153.0,707.0,finfet,False,False,0.3294,False,0.0,5.3216
../outputs/reference/finfet_007_ref.png,../outputs/search/finfet_007_search.png,106.0,382.0,106.0,382.0,finfet,False,False,0.335,True,0.0,5.2258
../outputs/reference/finfet_009_ref.png,../outputs/search/finfet_009_search.png,400.0,880.0,400.0,880.0,finfet,False,False,0.29,True,0.0,5.4051
../outputs/reference/finfet_011_ref.png,../outputs/search/finfet_011_search.png,720.0,79.0,720.0,79.0,finfet,False,False,0.3389,True,0.0,5.415
../outputs/reference/finfet_013_ref.png,../outputs/search/finfet_013_search.png,898.0,785.0,898.0,785.0,finfet,False,True,0.2376,True,0.0,5.5166
../outputs/reference/finfet_015_ref.png,../outputs/search/finfet_015_search.png,126.0,658.0,509.0,467.0,finfet,False,False,0.2585,True,427.98,5.3562
../outputs/reference/finfet_017_ref.png,../outputs/search/finfet_017_search.png,748.0,575.0,748.0,575.0,finfet,False,False,0.2822,True,0.0,5.2951
../outputs/reference/finfet_019_ref.png,../outputs/search/finfet_019_search.png,433.0,391.0,433.0,391.0,finfet,False,False,0.3335,True,0.0,5.3741
../outputs/reference/finfet_021_ref.png,../outputs/search/finfet_021_search.png,461.0,551.0,461.0,551.0,finfet,False,False,0.2803,True,0.0,5.309
../outputs/reference/finfet_023_ref.png,../outputs/search/finfet_023_search.png,220.0,110.0,220.0,110.0,finfet,False,True,0.227,True,0.0,5.2591
../outputs/reference/finfet_025_ref.png,../outputs/search/finfet_025_search.png,743.0,426.0,743.0,426.0,finfet,False,False,0.3399,False,0.0,5.4505
../outputs/reference/finfet_027_ref.png,../outputs/search/finfet_027_search.png,115.0,569.0,50.0,736.0,finfet,True,False,0.3748,False,179.2,5.3267
../outputs/reference/finfet_029_ref.png,../outputs/search/finfet_029_search.png,888.0,287.0,705.0,427.0,finfet,True,False,0.3867,True,230.41,5.2186
